Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,63,7,Some Random Commen with Id 0
1,2,0,15,3,Some Random Commen with Id 1
2,3,4,133,2,Some Random Commen with Id 2
3,3,4,63,9,Some Random Commen with Id 3
4,3,4,73,7,Some Random Commen with Id 4
5,4,5,164,4,Some Random Commen with Id 5
6,4,5,51,0,Some Random Commen with Id 6
7,5,5,13,6,Some Random Commen with Id 7
8,5,5,9,2,Some Random Commen with Id 8
9,5,5,52,2,Some Random Commen with Id 9
10,5,5,97,9,Some Random Commen with Id 10
11,5,5,169,6,Some Random Commen with Id 11
12,5,5,70,2,Some Random Commen with Id 12
13,5,5,196,2,Some Random Commen with Id 13
14,6,0,152,1,Some Random Commen with Id 14
15,6,0,55,7,Some Random Commen with Id 15
16,6,0,119,9,Some Random Commen with Id 16
17,6,0,21,6,Some Random Commen with Id 17
18,6,0,83,7,Some Random Commen with Id 18
19,6,0,89,6,Some Random Commen with Id 19
20,6,0,43,3,Some Random Commen with Id 20
21,6,0,86,7,Some Random Commen with Id 21
22,6,0,6,9,Some Random Commen with Id 22
23,7,0,71,1,Some Random Commen with Id 23
24,7,0,176,5,Some Random Commen with Id 24
25,7,0,116,2,Some Random Commen with Id 25
26,7,0,117,1,Some Random Commen with Id 26
27,7,0,69,8,Some Random Commen with Id 27
28,7,0,105,1,Some Random Commen with Id 28
29,7,0,86,9,Some Random Commen with Id 29
30,8,6,89,2,Some Random Commen with Id 30
31,8,6,99,5,Some Random Commen with Id 31
32,8,6,43,9,Some Random Commen with Id 32
33,8,6,134,1,Some Random Commen with Id 33
34,9,7,127,2,Some Random Commen with Id 34
35,9,7,151,2,Some Random Commen with Id 35
36,9,7,72,4,Some Random Commen with Id 36
37,9,7,76,8,Some Random Commen with Id 37
38,9,7,113,6,Some Random Commen with Id 38
39,9,7,70,6,Some Random Commen with Id 39
40,9,7,70,1,Some Random Commen with Id 40
41,9,7,37,8,Some Random Commen with Id 41
42,9,7,137,5,Some Random Commen with Id 42
43,10,9,105,2,Some Random Commen with Id 43
44,11,4,14,3,Some Random Commen with Id 44
45,11,4,107,7,Some Random Commen with Id 45
46,11,4,23,4,Some Random Commen with Id 46
47,11,4,81,6,Some Random Commen with Id 47
48,11,4,130,2,Some Random Commen with Id 48
49,12,6,199,2,Some Random Commen with Id 49
50,12,6,57,3,Some Random Commen with Id 50
51,12,6,154,0,Some Random Commen with Id 51
52,12,6,41,7,Some Random Commen with Id 52
53,12,6,44,2,Some Random Commen with Id 53
54,12,6,58,2,Some Random Commen with Id 54
55,12,6,85,0,Some Random Commen with Id 55
56,12,6,126,3,Some Random Commen with Id 56
57,13,2,152,0,Some Random Commen with Id 57
58,13,2,2,4,Some Random Commen with Id 58
59,13,2,22,1,Some Random Commen with Id 59
60,13,2,168,6,Some Random Commen with Id 60
61,13,2,135,1,Some Random Commen with Id 61
62,13,2,76,0,Some Random Commen with Id 62
63,13,2,179,0,Some Random Commen with Id 63
64,14,5,73,7,Some Random Commen with Id 64
65,14,5,167,3,Some Random Commen with Id 65
66,14,5,89,6,Some Random Commen with Id 66
67,15,6,135,1,Some Random Commen with Id 67
68,15,6,49,9,Some Random Commen with Id 68
69,15,6,104,4,Some Random Commen with Id 69
70,16,0,141,1,Some Random Commen with Id 70
71,16,0,60,2,Some Random Commen with Id 71
72,16,0,105,7,Some Random Commen with Id 72
73,16,0,116,7,Some Random Commen with Id 73
74,16,0,160,8,Some Random Commen with Id 74
75,17,2,126,5,Some Random Commen with Id 75
76,18,8,104,2,Some Random Commen with Id 76
77,18,8,91,0,Some Random Commen with Id 77
78,18,8,19,0,Some Random Commen with Id 78
79,18,8,195,0,Some Random Commen with Id 79
80,18,8,96,1,Some Random Commen with Id 80
81,18,8,106,4,Some Random Commen with Id 81
82,19,3,118,5,Some Random Commen with Id 82
83,19,3,123,8,Some Random Commen with Id 83
84,19,3,55,6,Some Random Commen with Id 84
85,19,3,47,2,Some Random Commen with Id 85
86,19,3,137,5,Some Random Commen with Id 86
87,19,3,31,7,Some Random Commen with Id 87
88,19,3,139,2,Some Random Commen with Id 88
89,19,3,25,4,Some Random Commen with Id 89
90,19,3,194,4,Some Random Commen with Id 90
